%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=521288629, 2018/09/12 0:25:57.33)
1 13 3.282928e+02 3.169196e+01  9.332590900762859576e+00  9.332590900762859576e+00  1.933490338947668619e+01  3.369470401968114714e+01
2 25 3.197246e+02 3.197134e+01  7.067842212803107316e+00  7.067842212803107316e+00  2.380173846446520258e+01  4.523831722105411046e+01
3 37 3.179788e+02 3.208310e+01  2.997807275593373788e+00  2.997807275593373788e+00  1.435962910110416857e+01  2.511790338723850624e+01
4 49 3.176746e+02 3.212837e+01  2.051780298981306316e+00  2.051780298981306316e+00  7.315955346055709185e+00  2.065580004043651030e+01
5 61 3.093686e+02 3.223017e+01  1.106131967572260066e+00  1.106131967572260066e+00  3.712457719011915458e+00  1.048010131705533610e+01
6 73 2.919880e+02 3.256333e+01 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02  8.927319847449957990e+00
7 85 2.839896e+02 3.262634e+01 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02
8 97 2.664633e+02 3.264841e+01 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02
9 109 2.519409e+02 3.265839e+01 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02
10 121 2.384206e+02 3.267603e+01 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02
11 133 2.307407e+02 3.269392e+01 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02 -2.657558797321257771e-02
