%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=521288629, 2018/09/12 0:25:57.33)
1 13 3.282928e+02 0 0 1.039344e+01 1.053120e+01 1.044247e+01 1.050036e+01 1.041620e+01 1.053487e+01 1.038861e+01 1.048239e+01 1.062538e+01 1.044562e+01 3.084128e+02 3.206752e+02 3.068572e+02 3.183237e+02 3.233107e+02 3.122562e+02 2.974031e+02 3.283898e+02 3.130256e+02 3.199157e+02 
2 25 3.197246e+02 0 0 1.010929e+01 1.023038e+01 1.016212e+01 1.019235e+01 1.009427e+01 1.032525e+01 1.014034e+01 1.019590e+01 1.030261e+01 1.015319e+01 3.017379e+02 3.114670e+02 2.978560e+02 3.086103e+02 3.135004e+02 3.054731e+02 2.906193e+02 3.198222e+02 3.042571e+02 3.113716e+02 
3 37 3.179788e+02 0 0 1.002531e+01 1.012619e+01 1.018596e+01 1.015140e+01 1.007571e+01 1.023695e+01 1.011651e+01 1.010261e+01 1.031384e+01 1.010318e+01 2.992673e+02 3.084500e+02 2.952914e+02 3.054017e+02 3.112774e+02 3.037474e+02 2.898503e+02 3.182872e+02 3.017758e+02 3.078094e+02 
4 49 3.176746e+02 0 0 9.977135e+00 1.010066e+01 1.014028e+01 1.011091e+01 1.003985e+01 1.021576e+01 1.028035e+01 1.010542e+01 1.026327e+01 1.005137e+01 2.997605e+02 3.083060e+02 2.949908e+02 3.040054e+02 3.095487e+02 3.034936e+02 2.896246e+02 3.166713e+02 3.006768e+02 3.065206e+02 
5 61 3.093686e+02 0 0 9.669220e+00 9.819034e+00 9.899525e+00 9.828030e+00 9.803268e+00 9.952244e+00 1.003264e+01 9.827781e+00 9.955718e+00 9.761485e+00 2.931726e+02 3.000182e+02 2.894327e+02 2.983322e+02 2.999690e+02 2.939717e+02 2.814704e+02 3.075385e+02 2.915269e+02 2.979887e+02 
6 73 2.919880e+02 0 0 9.084301e+00 9.277495e+00 9.311497e+00 9.326164e+00 9.257527e+00 9.395982e+00 9.439941e+00 9.282391e+00 9.379862e+00 9.189942e+00 2.772228e+02 2.819478e+02 2.720746e+02 2.810978e+02 2.823961e+02 2.778495e+02 2.646648e+02 2.904393e+02 2.754195e+02 2.813883e+02 
7 85 2.839896e+02 0 0 8.788137e+00 8.998799e+00 9.051593e+00 9.072628e+00 8.991742e+00 9.096997e+00 9.141039e+00 9.075958e+00 9.127234e+00 8.976897e+00 2.685327e+02 2.727009e+02 2.635244e+02 2.723997e+02 2.734417e+02 2.694428e+02 2.571003e+02 2.822369e+02 2.672850e+02 2.731486e+02 
8 97 2.664633e+02 0 0 8.251185e+00 8.396444e+00 8.460630e+00 8.488034e+00 8.409043e+00 8.592056e+00 8.536058e+00 8.501673e+00 8.523667e+00 8.438103e+00 2.506640e+02 2.545353e+02 2.464561e+02 2.542072e+02 2.556175e+02 2.525027e+02 2.412794e+02 2.635762e+02 2.495621e+02 2.553202e+02 
9 109 2.519409e+02 0 0 7.790845e+00 7.967292e+00 8.010501e+00 8.001473e+00 7.932798e+00 8.102928e+00 8.039090e+00 8.018012e+00 8.029865e+00 7.946041e+00 2.357366e+02 2.409368e+02 2.333480e+02 2.396279e+02 2.425951e+02 2.379335e+02 2.275470e+02 2.481803e+02 2.359441e+02 2.418815e+02 
10 121 2.384206e+02 0 0 7.338127e+00 7.528269e+00 7.590938e+00 7.540106e+00 7.546106e+00 7.686759e+00 7.590659e+00 7.619995e+00 7.598270e+00 7.480161e+00 2.223906e+02 2.292603e+02 2.197462e+02 2.259056e+02 2.288049e+02 2.247750e+02 2.154973e+02 2.348042e+02 2.226163e+02 2.282884e+02 
11 133 2.307407e+02 0 0 7.104554e+00 7.282233e+00 7.320805e+00 7.271025e+00 7.274893e+00 7.416916e+00 7.311376e+00 7.376222e+00 7.358247e+00 7.254329e+00 2.158854e+02 2.215118e+02 2.123201e+02 2.176231e+02 2.207282e+02 2.179429e+02 2.076933e+02 2.269663e+02 2.150528e+02 2.197470e+02 
