%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=521288629, 2018/02/22 2:21:47.35)
1 15 2.806805e+01 0 0 2.802372e+01 2.803973e+01 2.804499e+01 2.801356e+01 2.805335e+01 2.802041e+01 2.807245e+01 2.803313e+01 2.801934e+01 2.804952e+01 2.803194e+01 2.803842e+01 2.806592e+01 2.801579e+01 2.804201e+01 2.802820e+01 2.803804e+01 2.805642e+01 2.803287e+01 2.800921e+01 2.804981e+01 2.802227e+01 2.802022e+01 2.805713e+01 2.803262e+01 2.805099e+01 2.804188e+01 2.812805e+01 2.806152e+01 2.810624e+01 2.803841e+01 2.801843e+01 2.802212e+00 2.800893e+00 2.802247e+00 2.803476e+00 
2 29 2.637665e+01 0 0 2.634004e+01 2.634439e+01 2.631898e+01 2.637233e+01 2.631157e+01 2.627844e+01 2.636331e+01 2.631761e+01 2.628575e+01 2.636664e+01 2.634319e+01 2.631988e+01 2.633409e+01 2.630764e+01 2.637405e+01 2.636330e+01 2.632160e+01 2.632671e+01 2.633504e+01 2.634879e+01 2.636123e+01 2.627525e+01 2.629658e+01 2.631554e+01 2.629253e+01 2.634756e+01 2.631352e+01 2.642170e+01 2.635783e+01 2.639353e+01 2.631505e+01 2.631782e+01 2.628322e+00 2.628785e+00 2.628716e+00 2.634318e+00 
3 43 2.527494e+01 0 0 2.521791e+01 2.521920e+01 2.518251e+01 2.532363e+01 2.518275e+01 2.513380e+01 2.525187e+01 2.516984e+01 2.518341e+01 2.525568e+01 2.532230e+01 2.523562e+01 2.523502e+01 2.518628e+01 2.525487e+01 2.524016e+01 2.519655e+01 2.522080e+01 2.518551e+01 2.519599e+01 2.522409e+01 2.516857e+01 2.516929e+01 2.528160e+01 2.517632e+01 2.521622e+01 2.518691e+01 2.527944e+01 2.522344e+01 2.524590e+01 2.525165e+01 2.518032e+01 2.517102e+00 2.516019e+00 2.514910e+00 2.522230e+00 
4 57 2.394671e+01 0 0 2.389089e+01 2.385909e+01 2.382220e+01 2.400201e+01 2.382057e+01 2.383224e+01 2.393294e+01 2.384532e+01 2.383927e+01 2.392455e+01 2.397477e+01 2.389527e+01 2.387752e+01 2.389259e+01 2.388442e+01 2.393395e+01 2.383416e+01 2.387835e+01 2.385240e+01 2.383432e+01 2.391627e+01 2.382375e+01 2.386427e+01 2.393493e+01 2.383248e+01 2.386079e+01 2.381602e+01 2.391929e+01 2.385792e+01 2.388368e+01 2.395119e+01 2.381962e+01 2.382256e+00 2.378662e+00 2.379435e+00 2.384569e+00 
5 71 2.290657e+01 0 0 2.284629e+01 2.280743e+01 2.282308e+01 2.296934e+01 2.282684e+01 2.277710e+01 2.286374e+01 2.285722e+01 2.278702e+01 2.292529e+01 2.294513e+01 2.283739e+01 2.280990e+01 2.284521e+01 2.282936e+01 2.285707e+01 2.275179e+01 2.286802e+01 2.277370e+01 2.274819e+01 2.283093e+01 2.277099e+01 2.279009e+01 2.287158e+01 2.276653e+01 2.290432e+01 2.274614e+01 2.284606e+01 2.283847e+01 2.282384e+01 2.290581e+01 2.277677e+01 2.280761e+00 2.277718e+00 2.271513e+00 2.276831e+00 
6 85 2.218203e+01 0 0 2.209862e+01 2.205583e+01 2.212521e+01 2.221173e+01 2.206499e+01 2.204939e+01 2.215000e+01 2.210441e+01 2.203657e+01 2.216009e+01 2.227450e+01 2.207587e+01 2.211295e+01 2.214139e+01 2.211021e+01 2.213578e+01 2.198888e+01 2.215661e+01 2.203148e+01 2.201962e+01 2.207312e+01 2.213562e+01 2.204751e+01 2.212480e+01 2.201721e+01 2.215901e+01 2.201194e+01 2.208823e+01 2.210144e+01 2.207963e+01 2.216804e+01 2.206133e+01 2.206587e+00 2.201212e+00 2.198705e+00 2.203123e+00 
7 99 2.158332e+01 0 0 2.157042e+01 2.141596e+01 2.153282e+01 2.163148e+01 2.147829e+01 2.141850e+01 2.153582e+01 2.152338e+01 2.141260e+01 2.152144e+01 2.170512e+01 2.144349e+01 2.148559e+01 2.154116e+01 2.148924e+01 2.149784e+01 2.138040e+01 2.151573e+01 2.142106e+01 2.141999e+01 2.146328e+01 2.152235e+01 2.141809e+01 2.148463e+01 2.141088e+01 2.159107e+01 2.142121e+01 2.147214e+01 2.146686e+01 2.145386e+01 2.153546e+01 2.144070e+01 2.144499e+00 2.141352e+00 2.142681e+00 2.138742e+00 
8 113 2.133861e+01 0 0 2.137020e+01 2.118959e+01 2.126742e+01 2.135631e+01 2.121163e+01 2.114072e+01 2.126327e+01 2.129166e+01 2.114879e+01 2.126308e+01 2.150505e+01 2.117986e+01 2.120808e+01 2.129549e+01 2.122436e+01 2.120792e+01 2.114719e+01 2.122574e+01 2.113545e+01 2.118150e+01 2.126142e+01 2.123364e+01 2.116005e+01 2.122022e+01 2.113329e+01 2.138676e+01 2.115171e+01 2.129724e+01 2.127958e+01 2.123563e+01 2.125506e+01 2.116790e+01 2.117301e+00 2.113880e+00 2.118540e+00 2.111218e+00 
9 127 2.116661e+01 0 0 2.118874e+01 2.101922e+01 2.109221e+01 2.117937e+01 2.102253e+01 2.094446e+01 2.116168e+01 2.112729e+01 2.097758e+01 2.107390e+01 2.133252e+01 2.096523e+01 2.100904e+01 2.111050e+01 2.102402e+01 2.103593e+01 2.097019e+01 2.104032e+01 2.093293e+01 2.100231e+01 2.111394e+01 2.104199e+01 2.108219e+01 2.107626e+01 2.092530e+01 2.126629e+01 2.096751e+01 2.123640e+01 2.108708e+01 2.105554e+01 2.111593e+01 2.096542e+01 2.097423e+00 2.093261e+00 2.105353e+00 2.092854e+00 
10 141 2.138511e+01 0 0 2.142481e+01 2.127608e+01 2.127867e+01 2.143946e+01 2.123178e+01 2.113092e+01 2.140287e+01 2.131699e+01 2.115062e+01 2.129165e+01 2.155570e+01 2.117366e+01 2.119168e+01 2.130672e+01 2.122046e+01 2.122032e+01 2.120873e+01 2.123499e+01 2.112325e+01 2.127229e+01 2.131149e+01 2.130563e+01 2.127478e+01 2.130702e+01 2.114253e+01 2.153606e+01 2.116352e+01 2.155216e+01 2.126772e+01 2.136661e+01 2.130139e+01 2.114287e+01 2.117287e+00 2.112246e+00 2.124324e+00 2.115799e+00 
11 155 2.143477e+01 0 0 2.147696e+01 2.130714e+01 2.128398e+01 2.147006e+01 2.128736e+01 2.119005e+01 2.153266e+01 2.138168e+01 2.118022e+01 2.133729e+01 2.160847e+01 2.125505e+01 2.121963e+01 2.134223e+01 2.123785e+01 2.125796e+01 2.124042e+01 2.129680e+01 2.113485e+01 2.134575e+01 2.136902e+01 2.136465e+01 2.130371e+01 2.133821e+01 2.115181e+01 2.160291e+01 2.118036e+01 2.164425e+01 2.129214e+01 2.142910e+01 2.133094e+01 2.115791e+01 2.118314e+00 2.118920e+00 2.125984e+00 2.120563e+00 
