%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=521288629, 2018/02/22 2:21:47.35)
1 15  8.004147156065389623e+00 0 0 -1.132407e+01 -8.876613e+00 -4.425404e+01 -7.020121e+00 3.553345e+00 9.444271e+00 4.330525e+01 -1.052924e+01 1.869702e+01 2.397146e+01 2.822670e+01 -2.976275e+01 6.361055e+00 7.136462e+00 -3.023290e+01 -2.226134e+01 3.246885e+01 -3.944991e+00 1.169641e+01 2.639613e+00 -1.906396e+01 -1.678720e+01 1.330960e+01 -2.849711e+01 2.343545e+01 1.706882e+01 -2.465143e+01 -7.968206e+00 -3.563331e+01 -6.606962e+01 2.959012e+01 -1.555905e+01 9.821027e-01 7.021710e-01 6.439842e-02 -3.011833e+00 
2 29  8.000328013861858878e+00 0 0 -3.129277e+01 -2.801247e+01 -5.811350e+01 -9.816399e+00 -3.898408e+01 -2.408249e+01 1.675899e+01 7.944211e+01 -2.377956e+01 2.619338e+01 2.929913e+01 -3.013559e+01 -3.213828e+01 -7.931262e+00 3.183626e+00 -2.626138e+01 1.541360e+01 -1.022014e+01 -1.096016e+01 -5.253676e+00 1.618781e+01 -3.819581e+01 3.444577e+01 -3.660185e+01 5.169955e+00 3.837888e+01 -1.480697e+01 -8.028876e+01 5.883571e+00 -4.040438e+01 -2.118213e+00 8.587083e+00 -2.252168e-01 1.294162e-01 -2.655869e-01 -4.254184e+00 
3 43  8.000563583054288941e+00 0 0 -2.356538e+00 -1.402004e+01 -4.209665e+01 6.629924e+01 -5.504137e+01 -6.142718e+00 -1.517818e+01 3.260438e+00 5.355341e+00 -2.063729e+01 2.093627e+01 -3.208909e+01 -4.377422e+01 -1.910563e+00 4.060994e+01 -3.311629e+01 6.329486e+00 -5.391657e+01 -2.948611e+00 -1.151318e+01 -9.962724e+00 -4.245094e+01 -2.656368e+01 8.102747e+00 -4.645317e+00 5.817441e+01 3.244467e+01 -4.256473e+01 6.079751e+00 -1.156112e+01 -2.465953e+01 -5.872864e+00 3.546547e+00 -2.566958e+00 -5.558046e-02 -5.078393e+00 
4 57  8.001407642198318015e+00 0 0 4.191931e-01 -3.990971e+01 -1.937132e+01 4.129794e+01 -1.551798e+01 2.037847e+01 1.356187e+01 3.592625e+01 1.788131e+01 2.837549e+01 6.018933e+01 -1.578524e+01 -1.007563e+01 -1.120465e+01 -3.679541e+01 -3.765220e+01 -4.401337e+01 -8.877797e+01 -1.534309e+01 -4.246799e+01 -3.881130e+01 -4.949539e+01 -3.755933e+01 2.130081e+01 -1.840418e+01 1.044505e+01 -2.493195e+01 -6.230359e+01 1.987170e+01 7.675773e+00 1.009350e+01 -4.135233e+01 3.311172e+00 -2.422887e+00 -1.842598e+00 -2.038079e+00 
5 71  8.007478364126978221e+00 0 0 -3.728700e+01 1.392410e+01 1.836396e+01 2.291376e+01 4.248966e+01 -3.244712e+00 2.234670e+01 3.954288e+01 -1.927062e+01 -5.580593e+01 2.547584e+01 1.063568e+01 -9.507140e+00 -2.774223e+01 -1.225852e+01 -2.877873e+01 -3.519960e+00 3.749886e+01 -3.850827e+00 -5.350604e+00 9.897566e+00 -3.984117e+01 1.870138e+01 2.619860e+01 1.185546e+01 3.246095e+01 -2.558304e+00 -3.100957e+01 -3.608703e+01 3.268002e+00 2.671378e+01 -5.949084e+00 -5.380143e+00 -2.675592e+00 -8.647754e-02 1.386523e-01 
6 85  8.001956015720326221e+00 0 0 -3.647478e+01 1.012588e+01 4.740970e+01 2.482896e+01 -3.044044e+00 -3.061941e+01 4.654020e+01 3.938342e+01 -3.105368e+01 -2.764559e+01 6.179857e+01 1.584148e+01 -4.907993e+01 8.312506e+00 2.716440e+01 -3.754636e+01 -5.289798e+00 -2.652306e+01 2.619835e+01 -2.624936e+00 -8.189816e+00 2.637570e+01 1.470057e+01 4.424304e+00 1.865121e+01 4.398636e+01 -1.052757e+01 -4.320797e+01 -5.139905e+01 -9.942200e+00 -5.625003e+01 9.270312e-01 8.492889e-01 -1.518590e+00 -1.470416e+00 -4.422687e-02 
7 99  8.002360120818666545e+00 0 0 -8.220045e+00 -6.808810e+00 5.030015e+01 1.549206e+01 -2.108358e+01 2.020251e+01 2.450694e+01 4.220297e+01 -1.652472e+01 3.381831e+00 6.729525e+01 4.247033e+01 -4.723086e+01 -4.838219e+01 -2.927058e+01 -1.929215e+01 2.902853e+01 8.842477e+00 2.482979e+01 -2.356914e+01 1.474520e+01 -1.426391e+01 2.739092e+01 1.798549e+01 3.069164e+01 2.557884e+01 -2.745015e+01 -3.195457e+01 -6.547774e+01 3.318949e+00 -8.865670e+01 3.229266e+01 2.018484e+00 -1.521011e+00 6.799457e-01 -1.632032e+00 
8 113  8.000013020368472283e+00 0 0 2.872272e+01 2.611716e+01 -1.023908e+01 1.111743e+01 4.595993e+00 -2.570508e+01 3.872504e+01 3.806431e+01 -2.655961e+01 1.015569e+01 8.901646e+01 -2.665121e-01 -9.360546e+00 -3.146145e+01 4.514323e+00 -1.302069e+01 1.875467e+01 6.959453e+00 1.720627e+01 2.910672e+01 -4.080002e+01 1.499129e+01 -2.499724e+01 1.595552e+01 -1.299379e+01 7.128061e+01 -1.954972e+01 1.952798e+01 2.403530e+01 1.679190e+01 -2.603480e+01 -1.804095e+01 -4.935075e-01 3.577183e-01 4.217778e+00 1.036060e+00 
9 127  8.001150930348941870e+00 0 0 4.611297e+01 -6.469028e+00 3.284691e+01 4.651794e+01 -5.016825e+01 -1.668429e+01 1.513216e+01 6.337428e+01 5.493855e+00 -1.065713e+01 7.266895e+01 -1.151382e+00 2.887668e+01 -5.572848e+01 -1.251953e+01 3.223268e+01 4.634179e+01 2.292538e+01 1.408928e+01 1.882752e+00 -2.579829e+01 2.569379e+01 -3.074053e+01 8.237620e+01 1.221847e+01 6.559490e+01 4.927366e+00 5.351790e+01 -7.856018e+00 4.815293e+01 6.931632e+00 -1.838784e+01 3.334820e-01 1.158858e+00 3.392536e-02 -2.637458e-01 
10 141  8.000081566825652857e+00 0 0 4.184853e+01 3.436188e+01 3.929421e+00 -3.404459e+00 -6.893487e+01 7.390066e+00 7.090365e+01 1.046940e+01 3.777437e+00 -3.638553e+01 4.276902e+01 -2.369240e+01 1.230702e+00 -2.282164e+01 1.689257e+01 -1.370310e+01 3.614767e+01 4.280884e+01 5.868427e+01 4.623796e+01 -1.656298e+01 3.816916e+01 5.306470e+01 -4.204126e+00 -1.642943e+01 6.284959e+01 8.527205e+00 4.850448e+01 2.825918e+01 4.856878e+01 2.572296e+01 -2.643486e+01 -1.107283e+00 7.732849e-01 4.952773e+00 1.042574e-01 
11 155  8.002282026083511468e+00 0 0 2.754649e+01 2.905918e+01 6.725718e+00 -1.274944e+01 -2.513111e+01 3.600249e+01 3.594411e+01 -1.711049e+01 1.106611e+01 -1.482010e+01 8.660635e+01 3.697100e+01 3.279783e+01 -3.237338e+01 -1.495124e+01 1.220965e+01 -1.738786e+01 2.126175e+01 -5.559329e+00 5.208553e+01 -3.128469e+01 3.612134e+01 3.281244e+00 5.300020e+01 -8.675340e+00 5.582239e+01 -1.822505e+01 2.430623e+01 3.827511e+00 5.409484e+01 -2.677006e+01 -2.289954e+01 -5.559232e-02 1.213989e-01 3.055640e+00 2.384574e+00 
12 169  8.003705826611128060e+00 0 0 2.381450e+01 -1.441215e+01 3.435967e+01 -1.952924e+01 -1.009036e+01 6.278290e+00 3.935228e+01 -3.447164e+01 -1.307579e+01 3.103100e+01 7.603065e+01 1.561199e+01 -2.336729e+01 -1.972067e+01 -1.021822e+01 1.556752e+01 -2.252863e+01 4.447271e+01 1.075664e+00 2.811398e+01 5.650945e+00 3.147316e+01 7.898178e+01 2.108937e+01 -9.108126e+00 6.059658e+01 -6.101548e+00 1.234328e+01 3.931253e+00 8.618524e+00 5.257501e+00 1.203060e+01 3.320142e+00 6.087550e-02 3.199692e+00 5.405504e-01 
13 183  8.000010902603918339e+00 0 0 2.877100e+00 6.673382e+00 3.991991e+01 -1.828294e+01 1.328605e+01 4.537355e+00 3.840406e+01 2.206138e+00 -9.859646e-01 5.208220e+01 7.684770e+01 8.269567e+00 -1.908388e+01 -1.462759e+01 4.164036e+01 -3.700390e-01 -3.701443e+01 1.054656e+01 1.202953e+01 5.300616e+01 -4.372314e+00 1.030440e+01 -1.022871e+01 5.044702e+01 4.341540e+00 5.938544e+01 -6.722861e+00 1.525610e+01 3.020300e+01 3.918913e+01 3.117638e+01 1.395575e+00 2.920582e+00 3.270857e+00 6.081871e+00 -1.439044e+00 
14 197  8.000050744009215009e+00 0 0 -8.860120e+00 -1.968817e+01 1.490206e+01 -3.408439e+01 -3.512094e+00 -1.720119e+01 4.224991e+01 4.458019e+00 3.800844e+01 5.914877e+01 5.492231e+01 3.083003e+01 -2.361092e+01 -4.559357e+01 5.120503e+01 1.434591e-01 -3.046407e+01 9.602052e+00 7.348752e+00 1.311140e+01 5.107775e+00 2.121710e+01 -2.854307e+01 2.495471e+01 -2.294701e+01 8.026077e+01 1.966146e+01 3.453140e+01 -3.089085e+00 4.417771e+01 2.718373e+01 1.440419e+01 1.089522e+00 1.479061e-01 4.061298e+00 -1.163154e+00 
15 211  8.000011477363978329e+00 0 0 2.443360e+01 1.418141e+01 2.434021e+01 -5.930601e+01 2.607415e+01 2.476772e+01 4.179934e+01 -2.762480e+01 -6.456110e-01 3.861295e+01 4.941946e+01 5.204831e+01 -4.391137e+00 -3.398296e+01 2.460538e+01 2.793165e+01 -1.652549e+00 -1.258911e+01 8.583852e+00 6.002115e+01 1.595965e+01 2.039250e+01 1.568027e+01 4.643563e+01 -9.382399e+00 8.498842e+01 1.926378e+01 -2.191735e+01 -2.081740e+01 6.187737e+01 1.570075e+00 4.279499e+00 1.380313e+00 -1.674611e-01 2.778894e+00 -8.065207e-01 
16 225  8.000604156862396010e+00 0 0 8.600466e+00 1.827866e+01 -1.607835e+01 -4.360143e+01 -7.004894e+01 -5.139225e+00 1.756533e+01 -1.490889e+00 -1.696368e+01 6.808218e+01 5.461252e+01 5.922659e+01 2.869894e+01 -6.753167e+00 1.145318e+01 9.240545e+01 -2.658977e+01 5.540220e+01 1.520536e+01 3.265589e+01 -4.038233e+00 6.420252e+01 -1.794914e+01 5.696846e+01 5.400202e+00 6.333582e+01 6.129378e+01 -6.572716e+00 -1.246069e+01 9.089997e+01 6.423229e+00 1.619880e+01 2.087780e+00 -1.683743e+00 6.564688e+00 -2.457960e-02 
17 239  8.001726107791940379e+00 0 0 6.418471e+01 2.803012e+01 1.891889e+01 -1.684415e+01 3.389728e+01 5.111578e+00 2.264923e+01 8.332391e+00 4.225206e+00 3.059383e+01 5.055733e+01 1.121854e+01 -2.996205e+01 -5.614804e+01 5.933142e+01 2.696899e+01 -2.781711e+01 4.325153e+01 2.337455e+01 4.308586e+01 1.674934e+01 1.481428e+01 -2.657445e+01 1.519635e+01 2.505626e+01 9.599172e+01 -4.079090e+01 1.524700e+00 2.831589e+01 1.037729e+02 1.544262e+01 3.335823e+00 -4.154645e-02 -1.417086e+00 2.238704e+00 -3.291143e+00 
18 253  8.000158906177327722e+00 0 0 -4.237462e+00 -5.372699e+00 1.803170e+01 1.123523e+01 -8.762986e+00 1.459563e+00 2.722586e+01 2.697283e+01 -7.790270e-01 6.612937e+01 3.864362e+01 2.288726e+01 -4.220061e+00 -9.824377e+00 2.356110e+01 4.380589e+01 4.680876e+01 6.611358e+00 1.530316e+01 2.919520e+01 -2.656820e+01 4.012830e+00 -3.776132e+00 6.777060e+01 5.237607e+01 6.341756e+01 -3.078753e+00 3.178854e+01 3.083437e+00 7.105205e+01 1.949621e+01 -1.217881e+01 1.328614e+00 5.203949e-01 -1.328368e-01 2.210005e-02 
