%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=521288629, 2018/02/22 2:21:47.35)
1 15 2.806805e+01 1.018087e+01  8.000000000000000000e+00  8.004147156065389623e+00  8.084549145562988315e+00  1.202323972578452072e+01
2 29 2.637665e+01 1.027826e+01  8.000000000000000000e+00  8.000328013861858878e+00  8.047174901772576661e+00  1.002836766922383127e+01
3 43 2.527494e+01 1.029989e+01  8.000000000000000000e+00  8.000563583054288941e+00  8.044529397313560537e+00  1.034845560819148425e+01
4 57 2.394671e+01 1.037730e+01  8.000000000000000000e+00  8.001407642198318015e+00  8.112840737900729238e+00  1.074392058907080205e+01
5 71 2.290657e+01 1.044862e+01  8.000000000000000000e+00  8.007478364126978221e+00  8.100994025344748550e+00  9.242806773023502842e+00
6 85 2.218203e+01 1.044847e+01  8.000000000000000000e+00  8.001956015720326221e+00  8.128761285565612837e+00  9.018787363059049156e+00
7 99 2.158332e+01 1.044277e+01  8.000000000000000000e+00  8.002360120818666545e+00  8.028084233747296850e+00  8.554086021242946813e+00
8 113 2.133861e+01 1.055140e+01  8.000000000000000000e+00  8.000013020368472283e+00  8.036108947046155748e+00  1.465629915860613508e+01
9 127 2.116661e+01 1.065421e+01  8.000000000000000000e+00  8.001150930348941870e+00  8.072002795886840332e+00  9.648180816340824251e+00
10 141 2.138511e+01 1.083002e+01  8.000000000000000000e+00  8.000081566825652857e+00  8.054673370394004550e+00  1.025078668352837497e+01
11 155 2.143477e+01 1.093884e+01  8.000000000000000000e+00  8.002282026083511468e+00  8.063076501941331742e+00  1.051451010034952560e+01
12 169 2.113025e+01 1.102306e+01  8.000000000000000000e+00  8.003705826611128060e+00  8.129529837579156037e+00  1.131442411142406357e+01
13 183 2.065970e+01 1.106597e+01  8.000000000000000000e+00  8.000010902603918339e+00  8.294566967414166214e+00  2.008138263293395198e+01
14 197 2.052564e+01 1.110125e+01  8.000000000000000000e+00  8.000050744009215009e+00  8.219688736355738712e+00  1.014454940086888968e+01
15 211 2.019641e+01 1.116160e+01  8.000000000000000000e+00  8.000011477363978329e+00  8.054388700371511334e+00  9.230186707843877514e+00
16 225 1.987993e+01 1.124961e+01  8.000000000000000000e+00  8.000604156862396010e+00  8.077215228814402792e+00  8.483662041538647003e+00
17 239 1.961957e+01 1.133309e+01  8.000000000000000000e+00  8.001726107791940379e+00  8.050316324132090529e+00  1.339607029997995369e+01
18 253 1.894707e+01 1.142094e+01  8.000000000000000000e+00  8.000158906177327722e+00  8.011855737042219872e+00  8.621785606321527240e+00
19 267 1.833132e+01 1.143556e+01  8.000000000000000000e+00  8.000154529307083706e+00  8.013879305177788126e+00  8.332848597063874152e+00
20 281 1.777126e+01 1.147161e+01  8.000000000000000000e+00  8.000000047207828757e+00  8.068840307570766868e+00  8.508190374108242082e+00
21 295 1.717852e+01 1.150519e+01  8.000000000000000000e+00  8.000219664823596588e+00  8.059167297698712318e+00  1.034123956987229320e+01
22 309 1.660056e+01 1.155403e+01  8.000000000000000000e+00  8.000171991306181951e+00  8.090429744014931757e+00  9.095632009563859199e+00
23 323 1.610670e+01 1.154364e+01  8.000000000000000000e+00  8.000003722159521047e+00  8.103519019347796615e+00  1.101266274486857810e+01
24 337 1.552625e+01 1.156827e+01  8.000000000000000000e+00  8.000766842332616591e+00  8.052718840152655488e+00  8.474097977098892898e+00
25 351 1.473456e+01 1.157302e+01  8.000000000000000000e+00  8.001958667865370245e+00  8.107993254208970768e+00  9.169742365989554500e+00
26 365 1.400321e+01 1.159682e+01  8.000000000000000000e+00  8.000001612935148998e+00  8.091518558224532143e+00  9.209123342691999170e+00
27 379 1.370422e+01 1.160659e+01  8.000000000000000000e+00  8.000002122391300929e+00  8.038300783658069548e+00  8.972603885429055737e+00
28 393 1.360018e+01 1.163452e+01  8.000000000000000000e+00  8.008381896297214197e+00  8.067362773289953992e+00  9.231952553807104778e+00
29 407 1.351881e+01 1.166433e+01  8.000000000000000000e+00  8.001721060560271326e+00  8.010014047065197929e+00  8.137996624249257849e+00
30 421 1.351026e+01 1.174232e+01  8.000000000000000000e+00  8.000014568212629129e+00  8.025560820270172258e+00  8.262360115733882182e+00
31 435 1.376309e+01 1.182622e+01  8.000000000000000000e+00  8.013005726514759175e+00  8.059171987549383687e+00  8.474389854114829035e+00
32 449 1.409950e+01 1.188748e+01  8.000000000000000000e+00  8.000144519570689283e+00  8.038815112479801073e+00  9.284100350251286216e+00
33 463 1.442259e+01 1.196346e+01  8.000000000000000000e+00  8.001292545779136844e+00  8.143059630287931228e+00  1.052710725170513939e+01
34 477 1.457128e+01 1.205683e+01  8.000000000000000000e+00  8.001884145981772889e+00  8.219770984397252178e+00  9.158625088206086673e+00
35 491 1.462933e+01 1.213263e+01  8.000000000000000000e+00  8.002457257248094535e+00  8.047895299613774256e+00  9.418084977306447669e+00
36 505 1.452617e+01 1.219148e+01  8.000000000000000000e+00  8.000018063021418158e+00  8.056088713233403809e+00  9.446899622632368931e+00
37 519 1.459341e+01 1.224409e+01  8.000000000000000000e+00  8.000131851348582401e+00  8.019979000440207173e+00  8.789286273894928669e+00
38 533 1.455773e+01 1.228721e+01  8.000000000000000000e+00  8.000151798869371333e+00  8.155101302530002982e+00  8.595372783751285439e+00
39 547 1.461924e+01 1.230615e+01  8.000000000000000000e+00  8.001029575558398221e+00  8.299687408562949287e+00  9.683694155059974662e+00
40 561 1.428643e+01 1.232288e+01  8.000000000000000000e+00  8.000000062805426637e+00  8.057739386557496886e+00  8.662926463924927489e+00
41 575 1.406370e+01 1.235354e+01  8.000000000000000000e+00  8.000006636822879713e+00  8.016431696858443701e+00  8.154666468179803118e+00
42 589 1.392013e+01 1.236828e+01  8.000000000000000000e+00  8.000385805279925933e+00  8.038827215855194552e+00  8.520373585055120103e+00
43 603 1.380015e+01 1.234669e+01  8.000000000000000000e+00  8.003787894319501106e+00  8.061927112135611750e+00  8.577326075429867913e+00
44 617 1.354240e+01 1.232574e+01  8.000000000000000000e+00  8.000004377522298427e+00  8.020302443676902371e+00  8.792327358034018658e+00
45 631 1.319514e+01 1.233995e+01  8.000000000000000000e+00  8.001187248507589445e+00  8.043944346143408808e+00  8.479294314725132509e+00
46 645 1.297087e+01 1.231633e+01  8.000000000000000000e+00  8.000139171204258659e+00  8.076425835980526102e+00  8.598203399388999912e+00
47 659 1.275000e+01 1.232628e+01  8.000000000000000000e+00  8.000000949456522292e+00  8.123325763097529517e+00  8.580368024939740934e+00
48 673 1.285132e+01 1.232288e+01  8.000000000000000000e+00  8.000155626493095085e+00  8.048007652440031023e+00  8.354530568406801194e+00
49 687 1.282843e+01 1.232466e+01  8.000000000000000000e+00  8.000582716412040440e+00  8.026513499530580020e+00  9.764971897739409101e+00
50 701 1.252348e+01 1.232237e+01  8.000000000000000000e+00  8.000116422313697129e+00  8.042870582209195263e+00  8.737219671359138573e+00
51 715 1.245834e+01 1.233165e+01  8.000000000000000000e+00  8.000067607213704690e+00  8.003941603190540377e+00  8.063575850954789459e+00
52 729 1.245589e+01 1.234661e+01  8.000000000000000000e+00  8.000696256698558884e+00  8.087661148991697857e+00  8.289659611610240120e+00
53 743 1.219811e+01 1.235738e+01  8.000000000000000000e+00  8.000311163749829646e+00  8.013554109473906450e+00  8.786642369391811869e+00
54 757 1.167430e+01 1.237180e+01  8.000000000000000000e+00  8.000098252974863655e+00  8.017981621273285953e+00  8.300341104900679667e+00
55 771 1.142423e+01 1.236668e+01  8.000000000000000000e+00  8.000050953144322463e+00  8.024291351530711935e+00  8.501595542949576867e+00
56 785 1.124393e+01 1.235661e+01  8.000000000000000000e+00  8.000002833128966984e+00  8.018051791420777619e+00  8.706734050101191613e+00
57 799 1.104119e+01 1.235970e+01  8.000000000000000000e+00  8.000465674478212108e+00  8.048747042787915973e+00  8.876937390828565810e+00
