%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=521288629, 2018/02/22 2:21:47.35)
1 15 2.806805e+01 1.015634e+00 9.975909e-02 9.975909e-02 9.979694e-02 9.985970e-02 9.992163e-02 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.975402e-01 9.980066e-01 9.992505e-01 1.000415e+00 1.002662e+00 1.005758e+00 1.010269e+00 1.015634e+00 
2 29 2.637665e+01 1.023449e+00 9.957416e-02 9.957416e-02 9.966175e-02 9.972033e-02 9.986937e-02 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.950864e-01 9.953756e-01 9.956000e-01 9.958974e-01 9.967034e-01 9.975311e-01 9.981196e-01 9.995518e-01 1.000577e+00 1.000878e+00 1.003350e+00 1.003866e+00 1.009032e+00 1.015884e+00 1.023449e+00 
3 43 2.527494e+01 1.023810e+00 9.940016e-02 9.940016e-02 9.954620e-02 9.966160e-02 9.979288e-02 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.926386e-01 9.927800e-01 9.929135e-01 9.929989e-01 9.931361e-01 9.935089e-01 9.936283e-01 9.944439e-01 9.952320e-01 9.956145e-01 9.959698e-01 9.966605e-01 9.969765e-01 9.985213e-01 9.992313e-01 1.001759e+00 1.003107e+00 1.005514e+00 1.009440e+00 1.011341e+00 1.022129e+00 1.023810e+00 
4 57 2.394671e+01 1.029579e+00 9.921454e-02 9.921454e-02 9.942776e-02 9.949780e-02 9.957629e-02 9.901969e-01 9.901969e-01 9.901969e-01 9.901969e-01 9.902416e-01 9.902767e-01 9.902898e-01 9.903746e-01 9.905145e-01 9.905710e-01 9.907068e-01 9.909985e-01 9.911738e-01 9.915740e-01 9.919386e-01 9.928869e-01 9.933064e-01 9.937179e-01 9.941478e-01 9.948845e-01 9.954345e-01 9.967207e-01 9.976567e-01 9.980115e-01 1.000019e+00 1.001600e+00 1.003549e+00 1.007785e+00 1.011685e+00 1.014669e+00 1.022070e+00 1.029579e+00 
5 71 2.290657e+01 1.035288e+00 9.908370e-02 9.908370e-02 9.938519e-02 9.945905e-02 9.957874e-02 9.877881e-01 9.878396e-01 9.878772e-01 9.879207e-01 9.880434e-01 9.881022e-01 9.881274e-01 9.882420e-01 9.883887e-01 9.886449e-01 9.890295e-01 9.891249e-01 9.898383e-01 9.905109e-01 9.908221e-01 9.911976e-01 9.916634e-01 9.924674e-01 9.934953e-01 9.939385e-01 9.951905e-01 9.970413e-01 9.988729e-01 9.996783e-01 1.000645e+00 1.004978e+00 1.005695e+00 1.006766e+00 1.009828e+00 1.021797e+00 1.024720e+00 1.035288e+00 
6 85 2.218203e+01 1.034684e+00 9.902739e-02 9.902739e-02 9.922990e-02 9.929385e-02 9.952869e-02 9.854126e-01 9.855791e-01 9.856814e-01 9.857957e-01 9.858376e-01 9.858636e-01 9.861409e-01 9.865628e-01 9.870258e-01 9.876421e-01 9.877160e-01 9.883800e-01 9.884835e-01 9.886251e-01 9.893518e-01 9.901976e-01 9.908906e-01 9.912260e-01 9.935134e-01 9.942354e-01 9.963372e-01 9.972551e-01 9.979089e-01 1.000126e+00 1.003845e+00 1.005231e+00 1.005776e+00 1.007931e+00 1.014168e+00 1.021711e+00 1.028737e+00 1.034684e+00 
7 99 2.158332e+01 1.033146e+00 9.893417e-02 9.893417e-02 9.901580e-02 9.936208e-02 9.953094e-02 9.831937e-01 9.833798e-01 9.835112e-01 9.836421e-01 9.841535e-01 9.842802e-01 9.846332e-01 9.848552e-01 9.854890e-01 9.858874e-01 9.860584e-01 9.863443e-01 9.866783e-01 9.869030e-01 9.886863e-01 9.890547e-01 9.906465e-01 9.917749e-01 9.936973e-01 9.949080e-01 9.961938e-01 9.980447e-01 9.983429e-01 1.000131e+00 1.002893e+00 1.004303e+00 1.005120e+00 1.008229e+00 1.015883e+00 1.023035e+00 1.032902e+00 1.033146e+00 
8 113 2.133861e+01 1.042582e+00 9.880981e-02 9.880981e-02 9.889849e-02 9.923251e-02 9.945893e-02 9.810113e-01 9.811909e-01 9.813430e-01 9.819064e-01 9.820525e-01 9.824619e-01 9.828598e-01 9.831111e-01 9.838493e-01 9.842164e-01 9.843590e-01 9.850026e-01 9.855855e-01 9.870413e-01 9.874549e-01 9.887259e-01 9.896947e-01 9.918359e-01 9.930336e-01 9.940525e-01 9.962098e-01 9.969703e-01 9.985660e-01 1.001917e+00 1.002399e+00 1.003103e+00 1.005905e+00 1.006530e+00 1.020594e+00 1.022504e+00 1.036373e+00 1.042582e+00 
9 127 2.116661e+01 1.050775e+00 9.862536e-02 9.862536e-02 9.884078e-02 9.915183e-02 9.956429e-02 9.787891e-01 9.790572e-01 9.795081e-01 9.796917e-01 9.798640e-01 9.806656e-01 9.812040e-01 9.814814e-01 9.819557e-01 9.827733e-01 9.838238e-01 9.845443e-01 9.854111e-01 9.857261e-01 9.863336e-01 9.871759e-01 9.887924e-01 9.905500e-01 9.936990e-01 9.945656e-01 9.956265e-01 9.973154e-01 9.992261e-01 1.001043e+00 1.001191e+00 1.003814e+00 1.008666e+00 1.011043e+00 1.024660e+00 1.025943e+00 1.039669e+00 1.050775e+00 
10 141 2.138511e+01 1.066017e+00 9.843164e-02 9.843164e-02 9.887532e-02 9.911122e-02 9.943386e-02 9.768345e-01 9.771520e-01 9.773977e-01 9.776181e-01 9.778476e-01 9.784183e-01 9.793138e-01 9.796538e-01 9.806570e-01 9.808230e-01 9.830626e-01 9.835279e-01 9.837266e-01 9.843927e-01 9.856331e-01 9.869785e-01 9.882034e-01 9.886792e-01 9.925148e-01 9.948885e-01 9.954957e-01 9.980359e-01 9.982701e-01 1.000045e+00 1.001419e+00 1.005109e+00 1.007673e+00 1.018108e+00 1.024585e+00 1.030953e+00 1.040948e+00 1.066017e+00 
